Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;UPZ;Valor
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;45;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;129000000
Casa;Casa en venta en Tintala;3;2;75;Tintala;Tintala;200000000
Apartamento;Apartamento en venta en Palermo;3;2;130;Palermo;Galerías;750000000
Apartamento;Apartamento en venta en El Batán;3;3;103;El Batán;La Alhambra;418000000
Apartamento;Apartamento en venta en Chico Reservado;1;1;64;Chico Reservado;CHAPINERO: Chicó Lago + El Refugio;495000000
Apartamento;Apartamento en venta en Usaquén;2;2;80;Usaquén;Usaquén;349000000
Apartamento;Apartamento en venta en Castilla;3;2;68;Castilla;KENNEDY: Castilla + Bavaria;310000000
Apartamento;Apartamento en venta en Santa Barbara;3;1;101;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;565000000
Apartamento;Apartamento en venta en Mirandela ;3;3;87;Mirandela ;SUBA: La Academia + Guaymaral + San José de Bavaria;370000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;259000000
Apartamento;Apartamento en venta en Cedritos;2;2;79;Cedritos;Usaquén;354000000
Casa;Casa en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;285000000
Apartamento;Apartamento en venta en Fontibón;3;2;84;Fontibón;Fontibón;420000000
Apartamento;Apartamento en venta en Mazuren;3;3;92;Mazuren;El Prado;372000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;88;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;500000000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;185000000
Apartamento;Apartamento en venta en El Contador;3;3;177;El Contador;Los Cedros;1050000000
Apartamento;Apartamento en venta en Usaquén;2;2;80;Usaquén;Usaquén;349000000
Apartamento;Apartamento en venta en Zona Noroccidental;4;4;294;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1800000000
Apartamento;Apartamento en venta en La Candelaria;4;4;160;La Candelaria;La Candelaria;900000000
Apartamento;Apartamento en venta en El Contador;3;3;206;El Contador;Los Cedros;990000000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;60;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;225000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;1;44;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;148000000
Apartamento;Apartamento en venta en Engativa;2;2;53;Engativa;Engativá;331500000
Apartamento;Apartamento en venta en Zona Noroccidental;1;1;58;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;300000000
Apartamento;Apartamento en venta en Usaquén;3;2;152;Usaquén;Usaquén;1030000000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;195000000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;200000000
Apartamento;Apartamento en venta en Fontibón;3;1;48;Fontibón;Fontibón;168000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;68;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;323000000
Casa;Casa en venta en Kennedy;3;2;86;Kennedy;Kennedy Central;275000000
Apartamento;Apartamento en venta en Santa Barbara;3;3;114;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;510000000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;44;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;176000000
Apartamento;Apartamento en venta en Ciudad Salitre;3;2;100;Ciudad Salitre;Ciudad Salitre Oriental;680000000
Apartamento;Apartamento en venta en Quinta Paredes;3;2;100;Quinta Paredes;Teusaquillo;680000000
Apartamento;Apartamento en venta en Hayuelos;3;2;45;Hayuelos;Modelia;217000000
Apartamento;Apartamento en venta en Usaquén;3;5;178;Usaquén;Usaquén;1050000000
Casa;Casa en venta en Usaquén;4;3;105;Usaquén;Usaquén;375000000
Apartamento;Apartamento en venta en Cedritos;3;2;98;Cedritos;Usaquén;458000000
Oficina/Consultorio;Oficina/Consultorio en venta en Ciudad Salitre;4;2;200;Ciudad Salitre;Ciudad Salitre Oriental;2000000000
Apartamento;Apartamento en venta en Santa Barbara;1;2;69;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;425000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;73;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;318000000
Apartamento;Apartamento en venta en Cedritos;4;4;158;Cedritos;Usaquén;660000000
Apartamento;Apartamento en venta en Usaquén;3;4;100;Usaquén;Usaquén;730000000
Apartamento;Apartamento en venta en Candelaria La Nueva;3;1;54;Candelaria La Nueva;La Candelaria;140000000
Apartamento;Apartamento en venta en Kennedy;3;2;78;Kennedy;Kennedy Central;343000000
Apartamento;Apartamento en venta en Kennedy;3;2;89;Kennedy;Kennedy Central;385000000
Casa;Casa en venta en Zona Noroccidental;4;4;220;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1300000000
Casa;Casa en venta en Zona Noroccidental;4;3;280;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1195000000
Apartamento;Apartamento en venta en Santa Barbara;2;3;85;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;519000000
Apartamento;Apartamento en venta en Bella Suiza;2;2;54;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;350000000
Apartamento;Apartamento en venta en Engativa;3;2;49;Engativa;Engativá;202000000
Apartamento;Apartamento en venta en Colina Campestre;4;3;115;Colina Campestre;Niza;429000000
Apartamento;Apartamento en venta en Chico Norte;2;2;88;Chico Norte;CHAPINERO: Chicó Lago + El Refugio;640000000
Apartamento;Apartamento en venta en Mazuren;2;2;67;Mazuren;El Prado;435000000
Apartamento;Apartamento en venta en Usaquén;3;2;100;Usaquén;Usaquén;610000000
Apartamento;Apartamento en venta en Normandia;2;2;77;Normandia;ENGATIVÁ: Santa Cecilia + Jardín  Botánico;650000000
Apartamento;Apartamento en venta en Bella Suiza;1;2;61;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;421000000
Apartamento;Apartamento en venta en Chico Reservado;3;4;150;Chico Reservado;CHAPINERO: Chicó Lago + El Refugio;1300000000
Apartamento;Apartamento en venta en Ciudad Bolívar;3;1;39;Ciudad Bolívar;CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo;155000000
Apartamento;Apartamento en venta en Cedritos;3;3;100;Cedritos;Usaquén;530000000
Apartamento;Apartamento en venta en Engativa;2;2;58;Engativa;Engativá;330000000
Apartamento;Apartamento en venta en Bosa;3;2;60;Bosa;Bosa Central;225000000
Apartamento;Apartamento en venta en Rafael Uribe Uribe;3;1;50;Rafael Uribe Uribe;Los Alcázares;143000000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;51;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;245500000
Apartamento;Apartamento en venta en Cedritos;2;3;97;Cedritos;Usaquén;433000000
Apartamento;Apartamento en venta en Cedritos;3;2;71;Cedritos;Usaquén;315000000
Apartamento;Apartamento en venta en Bella Suiza;2;3;82;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;450000000
Apartamento;Apartamento en venta en Zona Noroccidental;1;1;57;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;350000000
Apartamento;Apartamento en venta en Usaquén;2;2;51;Usaquén;Usaquén;205000000
Casa;Casa en venta en Usaquén;4;5;236;Usaquén;Usaquén;1200000000
Apartamento;Apartamento en venta en Fontibón;3;2;54;Fontibón;Fontibón;169000000
Apartamento;Apartamento en venta en Santa Barbara;1;2;66;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;375000000
Apartamento;Apartamento en venta en Las Villas;3;3;120;Las Villas;Niza;460000000
Apartamento;Apartamento en venta en Cedritos;1;2;48;Cedritos;Usaquén;308000000
Apartamento;Apartamento en venta en Chico Reservado;2;4;104;Chico Reservado;CHAPINERO: Chicó Lago + El Refugio;1100000000
Apartamento;Apartamento en venta en Cedritos;2;2;69;Cedritos;Usaquén;400000000
Casa;Casa en venta en Modelia;4;2;200;Modelia;Fontibón;860000000
Casa;Casa en venta en Usaquén;7;4;325;Usaquén;Usaquén;1650000000
Apartamento;Apartamento en venta en San Patricio;1;1;53;San Patricio;USAQUÉN: Country Club + Santa Bárbara;565000000
Apartamento;Apartamento en venta en Barrancas;3;2;63;Barrancas;San Cristóbal Norte;238000000
Apartamento;Apartamento en venta en Cedritos;3;3;108;Cedritos;Usaquén;503000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;330000000
Apartamento;Apartamento en venta en Cedritos;2;2;69;Cedritos;Usaquén;400000000
Casa;Casa en venta en Usaquén;7;4;325;Usaquén;Usaquén;1650000000
Apartamento;Apartamento en venta en Cedritos;3;2;96;Cedritos;Usaquén;580000000
Apartamento;Apartamento en venta en Cedritos;3;3;108;Cedritos;Usaquén;503000000
Apartamento;Apartamento en venta en Cedritos;4;3;135;Cedritos;Usaquén;635000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;103;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;499000000
Apartamento;Apartamento en venta en Cedritos;2;2;53;Cedritos;Usaquén;371000000
Apartamento;Apartamento en venta en Tintala;3;2;56;Tintala;Tintala;179000000
Apartamento;Apartamento en venta en Teusaquillo;2;2;83;Teusaquillo;Teusaquillo;348200000
Apartamento;Apartamento en venta en Barrancas;3;2;63;Barrancas;San Cristóbal Norte;238000000
Apartamento;Apartamento en venta en Ciudad Bolívar;3;2;59;Ciudad Bolívar;CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo;173000000
Apartamento;Apartamento en venta en Usaquén;3;3;66;Usaquén;Usaquén;257000000
Apartamento;Apartamento en venta en Chico Reservado;2;4;104;Chico Reservado;CHAPINERO: Chicó Lago + El Refugio;1100000000
Apartamento;Apartamento en venta en Engativa;3;2;70;Engativa;Engativá;298500000
Apartamento;Apartamento en venta en Ciudad Salitre;3;2;100;Ciudad Salitre;Ciudad Salitre Oriental;680000000
Apartamento;Apartamento en venta en Quinta Paredes;3;2;100;Quinta Paredes;Teusaquillo;680000000
Apartamento;Apartamento en venta en Hayuelos;3;2;45;Hayuelos;Modelia;217000000
Apartamento;Apartamento en venta en Usaquén;3;5;178;Usaquén;Usaquén;1050000000
Casa;Casa en venta en Usaquén;4;3;105;Usaquén;Usaquén;375000000
Apartamento;Apartamento en venta en Cedritos;4;4;158;Cedritos;Usaquén;660000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;73;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;318000000
Apartamento;Apartamento en venta en Cedritos;3;2;98;Cedritos;Usaquén;458000000
Apartamento;Apartamento en venta en Santa Barbara;1;2;69;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;425000000
Oficina/Consultorio;Oficina/Consultorio en venta en Ciudad Salitre;4;2;200;Ciudad Salitre;Ciudad Salitre Oriental;2000000000
Apartamento;Apartamento en venta en Kennedy;3;2;78;Kennedy;Kennedy Central;343000000
Apartamento;Apartamento en venta en Usaquén;3;4;100;Usaquén;Usaquén;730000000
Apartamento;Apartamento en venta en Candelaria La Nueva;3;1;54;Candelaria La Nueva;La Candelaria;140000000
Casa;Casa en venta en Zona Noroccidental;4;4;220;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1300000000
Apartamento;Apartamento en venta en Kennedy;3;2;89;Kennedy;Kennedy Central;385000000
Apartamento;Apartamento en venta en Usaquén;1;2;59;Usaquén;Usaquén;369000000
Apartamento;Apartamento en venta en Puente Aranda;1;2;51;Puente Aranda;PUENTE ARANDA: Zona Industrial + Puente Aranda;366000000
Apartamento;Apartamento en venta en Usaquén;2;3;92;Usaquén;Usaquén;378000000
Apartamento;Apartamento en venta en Cedritos;1;2;54;Cedritos;Usaquén;355000000
Apartamento;Apartamento en venta en La Calleja;3;3;121;La Calleja;USAQUÉN: Country Club + Santa Bárbara;700000000
Apartamento;Apartamento en venta en La Calleja;3;3;150;La Calleja;USAQUÉN: Country Club + Santa Bárbara;990000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;3;102;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;600000000
Apartamento;Apartamento en venta en Cedritos;3;3;122;Cedritos;Usaquén;516000000
Apartamento;Apartamento en venta en Cedritos;3;3;82;Cedritos;Usaquén;350000000
Apartamento;Apartamento en venta en Bella Suiza;2;2;78;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;475000000
Apartamento;Apartamento en venta en Chapinero;3;2;141;Chapinero;CHAPINERO: Pardo Rubio + Chapinero;749000000
Casa;Casa en venta en Zona Noroccidental;4;3;280;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1195000000
Apartamento;Apartamento en venta en Usaquén;2;2;75;Usaquén;Usaquén;498000000
Apartamento;Apartamento en venta en Santa Barbara;1;1;35;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;269000000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;43;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;153000000
Apartamento;Apartamento en venta en Zona Noroccidental;4;3;82;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;335000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;77;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;399000000
Apartamento;Apartamento en venta en Cedritos;1;2;51;Cedritos;Usaquén;373000000
Apartamento;Apartamento en venta en El Contador;2;2;70;El Contador;Los Cedros;415000000
Apartamento;Apartamento en venta en Bella Suiza;3;4;180;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;1550000000
Apartamento;Apartamento en venta en El Contador;3;3;90;El Contador;Los Cedros;460000000
Apartamento;Apartamento en venta en Cedritos;2;1;52;Cedritos;Usaquén;225000000
Apartamento;Apartamento en venta en Rafael Uribe Uribe;3;2;58;Rafael Uribe Uribe;Los Alcázares;200000000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;50;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;234000000
Apartamento;Apartamento en venta en Zona Noroccidental;4;2;73;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;199000000
Apartamento;Apartamento en venta en Bella Suiza;2;2;83;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;450000000
Apartamento;Apartamento en venta en Santa Barbara;5;5;375;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;1400000000
Apartamento;Apartamento en venta en Engativa;3;2;49;Engativa;Engativá;202000000
Apartamento;Apartamento en venta en Bella Suiza;2;2;54;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;350000000
Apartamento;Apartamento en venta en Santa Barbara;2;3;85;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;519000000
Apartamento;Apartamento en venta en Usaquén;2;2;60;Usaquén;Usaquén;310000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;3;70;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;355000000
Apartamento;Apartamento en venta en Colina Campestre;3;2;108;Colina Campestre;Niza;545000000
Apartamento;Apartamento en venta en Chapinero;2;2;89;Chapinero;CHAPINERO: Pardo Rubio + Chapinero;720000000
Apartamento;Apartamento en venta en Chapinero;3;2;95;Chapinero;CHAPINERO: Pardo Rubio + Chapinero;650000000
Apartamento;Apartamento en venta en Cedritos;3;2;87;Cedritos;Usaquén;343000000
Apartamento;Apartamento en venta en Usme;3;1;46;Usme;USME: Alfonso López + Ciudad Usme;127000000
Apartamento;Apartamento en venta en Ciudad Salitre;3;2;70;Ciudad Salitre;Ciudad Salitre Oriental;370000000
Apartamento;Apartamento en venta en Kennedy;3;1;57;Kennedy;Kennedy Central;162000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;4;300;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1560000000
Apartamento;Apartamento en venta en Usme;3;1;48;Usme;USME: Alfonso López + Ciudad Usme;136000000
Casa;Casa en venta en Engativa;4;2;90;Engativa;Engativá;265000000
Apartamento;Apartamento en venta en Usme;2;1;43;Usme;USME: Alfonso López + Ciudad Usme;131000000
Casa;Casa en venta en Usaquén;3;2;114;Usaquén;Usaquén;416000000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;43;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;161000000
Casa;Casa en venta en El Contador;4;3;210;El Contador;Los Cedros;900000000
Casa;Casa en venta en Nueva Zelandia;4;2;105;Nueva Zelandia;SUBA: La Academia + Guaymaral + San José de Bavaria;389000000
Apartamento;Apartamento en venta en Usaquén;3;1;54;Usaquén;Usaquén;190000000
Apartamento;Apartamento en venta en Usme;3;1;50;Usme;USME: Alfonso López + Ciudad Usme;139000000
Apartamento;Apartamento en venta en Cedritos;2;2;70;Cedritos;Usaquén;319000000
Apartamento;Apartamento en venta en Cedritos;1;2;52;Cedritos;Usaquén;327000000
Apartamento;Apartamento en venta en La Calleja;1;2;70;La Calleja;USAQUÉN: Country Club + Santa Bárbara;474500000
Apartamento;Apartamento en venta en Cedritos;1;2;48;Cedritos;Usaquén;308000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;3;134;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;720000000
Apartamento;Apartamento en venta en Cedritos;3;2;66;Cedritos;Usaquén;310000000
Apartamento;Apartamento en venta en Madelena;2;1;40;Madelena;Arborizadora;177500000
Casa;Casa en venta en Zona Noroccidental;4;3;222;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1200000000
Apartamento;Apartamento en venta en El Plan;3;2;77;El Plan;El Rincón;380000000
Apartamento;Apartamento en venta en Suba;3;2;53;Suba;Suba;210000000
Casa;Casa en venta en Kennedy;14;7;360;Kennedy;Kennedy Central;1290000000
Apartamento;Apartamento en venta en Cedritos;3;2;77;Cedritos;Usaquén;320000000
Apartamento;Apartamento en venta en San Patricio;1;2;60;San Patricio;USAQUÉN: Country Club + Santa Bárbara;445000000
Apartamento;Apartamento en venta en Usaquén;3;2;91;Usaquén;Usaquén;340000000
Apartamento;Apartamento en venta en Santa Barbara;3;3;114;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;510000000
Casa;Casa en venta en Usaquén;7;3;240;Usaquén;Usaquén;465000000
Apartamento;Apartamento en venta en Villa Alsacia;2;1;42;Villa Alsacia;KENNEDY: Castilla + Bavaria;220000000
Apartamento;Apartamento en venta en Hayuelos;3;2;69;Hayuelos;Modelia;337000000
Apartamento;Apartamento en venta en Kennedy;2;2;54;Kennedy;Kennedy Central;260000000
Apartamento;Apartamento en venta en Tintala;3;3;98;Tintala;Tintala;445000000
Apartamento;Apartamento en venta en Tintala;3;2;74;Tintala;Tintala;290000000
Apartamento;Apartamento en venta en Nueva Zelandia;2;2;56;Nueva Zelandia;SUBA: La Academia + Guaymaral + San José de Bavaria;342514000
Apartamento;Apartamento en venta en Santa Paula;2;3;89;Santa Paula;USAQUÉN: Country Club + Santa Bárbara;625000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;90;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;490000000
Apartamento;Apartamento en venta en Usaquén;3;2;71;Usaquén;Usaquén;350000000
Apartamento;Apartamento en venta en Cedritos;3;2;90;Cedritos;Usaquén;444150000
Apartamento;Apartamento en venta en Villemar;3;2;78;Villemar;Fontibón;360000000
Apartamento;Apartamento en venta en Santa Fe;1;2;54;Santa Fe;SANTA FE: Las Nieves + Sagrado Corazón;370000000
Apartamento;Apartamento en venta en Kennedy;3;2;52;Kennedy;Kennedy Central;150000000
Apartamento;Apartamento en venta en Tintala;2;2;54;Tintala;Tintala;232500000
Apartamento;Apartamento en venta en Kennedy;3;2;64;Kennedy;Kennedy Central;271000000
Apartamento;Apartamento en venta en Santa Fe;1;2;60;Santa Fe;SANTA FE: Las Nieves + Sagrado Corazón;450000000
Apartamento;Apartamento en venta en Tintala;3;2;55;Tintala;Tintala;163500000
Apartamento;Apartamento en venta en Kennedy;4;2;88;Kennedy;Kennedy Central;390000000
Casa;Casa en venta en Zona Noroccidental;3;2;89;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;300000000
